FROM_STATION,TO_STATION,FLOW
西乡站,清湖站,411
西乡站,深大站,6968
西乡站,深圳北站,1244
西乡站,水湾站,89
西乡站,湾厦站,49
西乡站,爱联站,43
西乡站,田贝站,57
西乡站,燕南站,20
西乡站,登良站,93
西乡站,灵芝站,1232
西乡站,留仙洞站,655
西乡站,海月站,85
西乡站,洪浪北站,992
西乡站,永湖站,18
西乡站,海上世界站,68
西乡站,机场东站,2094
西乡站,新秀站,19
西乡站,晒布站,67
西乡站,桃园站,1882
西乡站,景田站,122
西乡站,杨美站,179
西乡站,木棉湾站,44
西乡站,岗厦北站,39
西乡站,宝安中心站,3031
西乡站,宝华站,731
西乡站,大学城站,724
西乡站,大剧院站,499
西乡站,塘朗站,585
西乡站,通新岭站,39
西乡站,吉祥站,30
西乡站,塘坑站,33
西乡站,南联站,31
西乡站,双龙站,62
西乡站,大新站,1561
西乡站,后海站,1035
西乡站,莲花西站,82
西乡站,莲花村站,15
西乡站,翠竹站,77
西乡站,荷坳站,19
西乡站,老街站,519
西乡站,莲花北站,43
西乡站,翻身站,999
西乡站,红树湾站,23
西乡站,罗湖站,487
西乡站,白石龙站,99
西乡站,百鸽笼站,86
西乡站,白石洲站,713
西乡站,华侨城站,187
西乡站,丹竹头站,72
西乡站,东角头站,57
西乡站,下水径站,117
西乡站,前海湾站,91
西乡站,侨城东站,423
西乡站,湖贝站,60
西乡站,华强北站,50
西乡站,世界之窗站,569
西乡站,侨城北站,187
西乡站,六约站,41
西乡站,会展中心站,597
西乡站,侨香站,115
西乡站,兴东站,1702
西乡站,临海站,9
西乡站,华新站,35
西乡站,五和站,803
西乡站,上水径站,97
西乡站,国贸站,376
西乡站,固戍站,6497
西乡站,后瑞站,3402
西乡站,福永站,55
西乡站,南山站,591
西乡站,机场站,57
西乡站,碧海湾站,9
西乡站,宝安站,11
西乡站,桥头站,42
西乡站,香蜜湖站,151
西乡站,鲤鱼门站,584
西乡站,大芬站,54
西乡站,太安站,30
西乡站,大运站,28
西乡站,福田口岸站,130
西乡站,竹子林站,319
西乡站,福田站,169
西乡站,红山站,102
西乡站,科学馆站,338
西乡站,科苑站,599
西乡站,红岭站,43
西乡站,上梅林站,95
西乡站,高新园站,5790
西乡站,香蜜站,23
西乡站,安托山站,25
西乡站,坂田站,337
西乡站,福民站,89
西乡站,少年宫站,96
西乡站,岗厦站,376
西乡站,坪洲站,1342
西乡站,宝体站,1332
西乡站,市民中心站,100
西乡站,益田站,112
西乡站,石厦站,81
西乡站,深湾站,2
西乡站,布吉站,244
西乡站,上塘站,113
西乡站,深圳湾公园站,108
西乡站,民治站,801
西乡站,怡景站,42
西乡站,民乐站,101
西乡站,布心站,25
西乡站,横岗站,50
西乡站,新安站,822
西乡站,蛇口港站,35
长龙站,草埔站,366
长龙站,香梅北站,74
长龙站,龙井站,89
长龙站,龙城广场站,241
长龙站,珠光站,100
长龙站,龙华站,407
长龙站,沙尾站,155
长龙站,上沙站,74
长龙站,皇岗村站,60
长龙站,农林站,59
长龙站,桃源村站,56
长龙站,皇岗口岸站,102
长龙站,西丽湖站,20
长龙站,深云站,23
长龙站,茶光站,92
长龙站,华强路站,242
长龙站,龙胜站,267
长龙站,黄贝岭站,1721
长龙站,红树湾南站,4
长龙站,红岭北站,422
长龙站,笋岗站,576
长龙站,赤尾站,190
长龙站,洪湖站,246
长龙站,华强南站,275
长龙站,黄木岗站,205
长龙站,八卦岭站,491
长龙站,下沙站,238
长龙站,文锦站,3
长龙站,梅景站,86
长龙站,香梅站,34
长龙站,人民南站,36
长龙站,向西村站,16
长龙站,下梅林站,82
长龙站,鹿丹村站,29
长龙站,松岗站,60
长龙站,马安山站,32
长龙站,梅村站,50
长龙站,孖岭站,85
长龙站,红岭南站,36
长龙站,沙井站,81
长龙站,后亭站,26
长龙站,泥岗站,79
长龙站,园岭站,303
长龙站,碧头站,26
长龙站,银湖站,31
长龙站,塘尾站,30
长龙站,水贝站,354
长龙站,深康站,13
长龙站,清湖站,528
长龙站,深大站,187
长龙站,深圳北站,1881
长龙站,水湾站,70
长龙站,湾厦站,35
长龙站,爱联站,230
长龙站,田贝站,968
长龙站,燕南站,1069
长龙站,登良站,76
长龙站,灵芝站,431
长龙站,留仙洞站,299
长龙站,海月站,78
长龙站,洪浪北站,257
长龙站,永湖站,139
长龙站,海上世界站,49
长龙站,机场东站,51
长龙站,新秀站,326
长龙站,晒布站,426
长龙站,桃园站,95
长龙站,景田站,248
长龙站,杨美站,1672
长龙站,木棉湾站,278
长龙站,岗厦北站,380
长龙站,宝安中心站,174
长龙站,宝华站,80
长龙站,大学城站,435
长龙站,大剧院站,2279
长龙站,塘朗站,376
长龙站,通新岭站,172
长龙站,吉祥站,258
长龙站,塘坑站,338
长龙站,南联站,205
长龙站,双龙站,386
长龙站,大新站,119
长龙站,后海站,245
长龙站,莲花西站,176
长龙站,莲花村站,96
